threshold,approval_rate,bad_capture_rate,expected_cost,false_negative_count,false_positive_count
0.29765217391304344,0.7761666666666667,0.5915599095704597,41016150.0,542,558
0.30260869565217385,0.78,0.587792012057272,41376400.0,547,540
0.30756521739130427,0.7841666666666667,0.5779954785229842,42131650.0,560,528
0.3125217391304348,0.7878333333333334,0.5719668425018839,42385150.0,568,514
0.3174782608695652,0.791,0.5697061039939714,42518150.0,571,498
0.3224347826086956,0.7943333333333333,0.5659382064807837,42714900.0,576,483
0.32739130434782604,0.7963333333333333,0.5621703089675961,43033900.0,581,476
0.33234782608695645,0.8005,0.5568952524491334,43419650.0,588,458
0.33730434782608687,0.8033333333333333,0.5508666164280331,43989150.0,596,449
0.3422608695652174,0.8058333333333333,0.5478522984174831,44272900.0,600,438
0.3472173913043478,0.8108333333333333,0.5395629238884703,44790400.0,611,419
0.3521739130434782,0.8145,0.5305199698568199,45387900.0,623,409
0.35713043478260864,0.8181666666666667,0.5229841748304446,45826400.0,633,397
0.36208695652173906,0.8218333333333333,0.5162019593067069,46469150.0,642,384
0.36704347826086947,0.8261666666666667,0.5086661642803316,46888650.0,652,368
0.372,0.8285,0.5026375282592314,47247650.0,660,362
0.3769565217391304,0.8308333333333333,0.4981160512434062,47491400.0,666,354
0.3819130434782608,0.835,0.4905802562170309,48161400.0,676,339
0.38686956521739124,0.8376666666666667,0.4853051996985682,48607650.0,683,330
0.39182608695652166,0.8398333333333333,0.4800301431801055,49059650.0,690,324
0.3967826086956521,0.8421666666666666,0.4747550866616428,49403650.0,697,317
0.4017391304347826,0.8448333333333333,0.4702336096458176,49753900.0,703,307
0.406695652173913,0.848,0.4642049736247174,50355900.0,711,296
0.41165217391304343,0.851,0.4566691785983421,50935400.0,721,288
0.41660869565217384,0.8531666666666666,0.4529012810851545,51238650.0,726,280
0.42156521739130426,0.8553333333333333,0.4506405425772419,51326650.0,729,270
0.4265217391304348,0.8565,0.4468726450640543,51441400.0,734,268
0.4314782608695652,0.8588333333333333,0.4400904295403165,51547900.0,743,263
0.4364347826086956,0.8596666666666667,0.4385832705350414,51621650.0,745,260
0.44139130434782603,0.862,0.4325546345139412,51862400.0,753,254
0.44634782608695645,0.8636666666666667,0.4272795779954785,52233900.0,760,251
0.45130434782608686,0.8648333333333333,0.4235116804822909,52473150.0,765,249
0.4562608695652174,0.8671666666666666,0.41974378296910325,52775150.0,770,240
0.4612173913043478,0.8691666666666666,0.413715146948003,53220650.0,778,236
0.4661739130434782,0.8708333333333333,0.4091936699321778,53428400.0,784,232
0.47113043478260863,0.8733333333333333,0.4031650339110776,53988400.0,792,225
0.47608695652173905,0.875,0.39939713639789,54089400.0,797,220
0.48104347826086946,0.8765,0.39562923888470236,54185150.0,802,216
0.486,0.878,0.3911077618688772,54492900.0,808,213
0.4909565217391304,0.8785,0.39035418236623964,54558150.0,809,211
0.4959130434782608,0.88,0.3858327053504145,54745400.0,815,208
0.5008695652173912,0.8815,0.3813112283345893,54847650.0,821,205
0.5058260869565216,0.8828333333333334,0.37678975131876413,55401900.0,827,203
0.5107826086956521,0.884,0.37452901281085155,55726650.0,830,199
0.5157391304347826,0.8855,0.36850037678975134,56169900.0,838,198
0.520695652173913,0.8868333333333334,0.36397889977392617,56430150.0,844,196
0.5256521739130434,0.888,0.3617181612660136,56567900.0,847,192
0.5306086956521738,0.89,0.3571966842501884,56953400.0,853,186
0.5355652173913044,0.892,0.35041446872645066,57387650.0,862,183
0.5405217391304348,0.8933333333333333,0.34815373021853807,57503150.0,865,178
0.5454782608695652,0.8955,0.3436322532027129,57776650.0,871,171
0.5504347826086956,0.8963333333333333,0.3413715146948003,58024650.0,874,169
0.555391304347826,0.8975,0.33760361718161264,58106650.0,879,167
0.5603478260869564,0.8991666666666667,0.3360964581763376,58138650.0,881,159
0.565304347826087,0.9,0.333835719668425,58244650.0,884,157
0.5702608695652174,0.9013333333333333,0.3308214016578749,58432650.0,888,153
0.5752173913043478,0.9036666666666666,0.3262999246420497,58483900.0,894,145
0.5801739130434782,0.905,0.32328560663149963,58608900.0,898,141
0.5851304347826086,0.9066666666666666,0.31951770911831195,59010900.0,903,136
0.590086956521739,0.908,0.3165033911077619,59122150.0,907,132
0.5950434782608696,0.9093333333333333,0.3119819140919367,59306150.0,913,130
0.6,0.9103333333333333,0.3082140165787491,59429650.0,918,129
